"Species","Species_Code","Model_Rank","Model_Type","Covariates","Parameter","Mean","SD","MCSE","ESS","Rhat","Rhat_UpperCI","Median","q2.5","q97.5","CI_95"
"Sambar deer","SBR",1,"Spatial","dist_str + ndvi_cv + elev + BB + DD","AGS",1.59048328118738,0.0084673689046996,0.000273342098389785,959.6,1.0004,1.0006,1.5879667367838,1.58213187011111,1.61321859422382,"[1.5821, 1.6132]"
"Sambar deer","SBR",1,"Spatial","dist_str + ndvi_cv + elev + BB + DD","TOTAL_ABUND",9530.5330960122,1922.77662209841,147.664970940865,169.6,1.0214,1.0216,9262.15725144537,6498.69638334035,13826.1959125934,"[6498.6964, 13826.1959]"
"Sambar deer","SBR",1,"Spatial","dist_str + ndvi_cv + elev + BB + DD","beta[1]",-0.164738892113286,0.312672784286755,0.0273908739987684,130.3,1.0128,1.013,-0.155537993617944,-0.836613647333422,0.434273191581965,"[-0.8366, 0.4343]"
"Sambar deer","SBR",1,"Spatial","dist_str + ndvi_cv + elev + BB + DD","beta[2]",-1.32358311554547,0.326410536222953,0.030942211949493,111.3,1.0093,1.0095,-1.32045238078235,-1.9658174086221,-0.695317067208596,"[-1.9658, -0.6953]"
"Sambar deer","SBR",1,"Spatial","dist_str + ndvi_cv + elev + BB + DD","beta[3]",-2.18235560540225,0.355742696439858,0.0488104829364006,53.1,1,1.0001,-2.16764554424725,-2.99562051562305,-1.52970588933249,"[-2.9956, -1.5297]"
"Sambar deer","SBR",1,"Spatial","dist_str + ndvi_cv + elev + BB + DD","beta[4]",-0.00930764138619302,1.50138220660389,0.0287147682656336,2733.8,1.0004,1.0005,0.00763222378925787,-2.88176770372667,2.90658605316934,"[-2.8818, 2.9066]"
"Sambar deer","SBR",1,"Spatial","dist_str + ndvi_cv + elev + BB + DD","beta[5]",-1.71874806465606,0.928972797356377,0.0640719062881171,210.2,1.0037,1.0038,-1.66473300527281,-3.68250163354183,-0.100672302912009,"[-3.6825, -0.1007]"
"Sambar deer","SBR",1,"Spatial","dist_str + ndvi_cv + elev + BB + DD","beta[6]",-0.521946557663201,0.578659308875621,0.0326060066122001,315,1.0029,1.0031,-0.403878627106704,-1.97467699968325,0.313467192810039,"[-1.9747, 0.3135]"
"Sambar deer","SBR",1,"Spatial","dist_str + ndvi_cv + elev + BB + DD","beta[7]",0.00713187466914463,1.41720201496486,0.0262060842825417,2924.6,1,1.0001,-0.00130542682624202,-2.80267303465393,2.84056070599809,"[-2.8027, 2.8406]"
"Sambar deer","SBR",1,"Spatial","dist_str + ndvi_cv + elev + BB + DD","beta0",-1.0072612629608,0.340075750807495,0.0370285543501478,84.3,1.0011,1.0013,-0.98800242502812,-1.71579242931556,-0.388151444212623,"[-1.7158, -0.3882]"
"Sambar deer","SBR",1,"Spatial","dist_str + ndvi_cv + elev + BB + DD","gs_k[1]",0.596181353082436,0.00376202812227612,0.00012122149250654,963.1,1.0004,1.0006,0.597292783830814,0.586099673379407,0.599929617071273,"[0.5861, 0.5999]"
"Sambar deer","SBR",1,"Spatial","dist_str + ndvi_cv + elev + BB + DD","gs_k[2]",0.301890094867457,0.00184370264143656,5.92999796512452e-05,966.7,1.0004,1.0006,0.301348717642452,0.30003518816178,0.306820739744856,"[0.3000, 0.3068]"
