"Species","Species_Code","Model_Rank","Model_Type","Covariates","Parameter","Mean","SD","MCSE","ESS","Rhat","Rhat_UpperCI","Median","q2.5","q97.5","CI_95"
"Muntjac","MJK",1,"NoSpatial","elev + slope","AGS",1.58939598484851,0.00726231894820462,0.000146082536637357,2471.5,1.0008,1.0009,1.58722049398119,1.58219121252966,1.6089285202867,"[1.5822, 1.6089]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","TOTAL_ABUND",14123.6414913,1498.00185301464,36.5027353697689,1684.1,1.0007,1.0008,14004.291004809,11516.9119898892,17387.2968812352,"[11516.9120, 17387.2969]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","beta[1]",0.323203101468336,0.142094610248627,0.00524812624687469,733.1,1.0073,1.0074,0.329737376709393,0.0238095868655917,0.586635360291552,"[0.0238, 0.5866]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","beta[2]",-0.12874079467275,0.120566108844983,0.00367317575894869,1077.4,1.0005,1.0006,-0.12737492793367,-0.365156491456049,0.106957938775727,"[-0.3652, 0.1070]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","beta[3]",-0.53695916264639,0.203612643921842,0.00971525115627548,439.2,1.005,1.005,-0.542849395143682,-0.927291962044722,-0.112061704666965,"[-0.9273, -0.1121]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","beta[4]",-0.29146653352668,0.12686383711842,0.00416766352907283,926.6,1.0017,1.0017,-0.288163028838616,-0.552930609913452,-0.0507526766040155,"[-0.5529, -0.0508]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","beta[5]",-1.67620154098758,1.03528383300852,0.067912652779415,232.4,1.0198,1.0199,-1.67514716747484,-3.80512316511421,0.177155311802917,"[-3.8051, 0.1772]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","beta[6]",0.0653567930134488,0.0767784004067784,0.00147419402441012,2712.5,1.0006,1.0007,0.0686554630567057,-0.0958246541212159,0.208359137884153,"[-0.0958, 0.2084]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","beta[7]",-0.107017835387122,0.126945926451043,0.00233131146851114,2965.1,1,1.0001,-0.10233153053454,-0.368148935996202,0.124828955463381,"[-0.3681, 0.1248]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","beta0",0.533691392716703,0.251948710267747,0.0161611857477655,243,1.0136,1.0137,0.542051450108988,0.0128090263443092,1.00326872959486,"[0.0128, 1.0033]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","gs_k[1]",0.664197644903076,0.00239521868988278,4.81070406342139e-05,2479,1.0008,1.0009,0.664910788748667,0.657771776091823,0.666594595318338,"[0.6578, 0.6666]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","gs_k[2]",0.335802355096924,0.00239521868988278,4.81070406342139e-05,2479,1.0008,1.0009,0.335089211251333,0.333405404681662,0.342228223908177,"[0.3334, 0.3422]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","muc",1.01119131080007,0.0109294284637645,0.000219762161407737,2473.4,1.0008,1.0009,1.00792231656207,1.00032435613266,1.04056828324792,"[1.0003, 1.0406]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","p",0.0107127197645147,0.0107252198875075,0.000222294601884195,2327.8,1,1.0001,0.00731525101966229,0.000285621200021643,0.0400769911460132,"[0.0003, 0.0401]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","pi[1, 1]",0.125838732303775,0.000750042751226104,1.30210617703425e-05,3318,1.0007,1.0008,0.125887243071697,0.124226461441619,0.127181602968687,"[0.1242, 0.1272]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","pi[2, 1]",0.0636917570949411,0.000545136025380594,1.02092134473932e-05,2851.2,1.0003,1.0003,0.0636144260903042,0.0628347768958721,0.0650013197169067,"[0.0628, 0.0650]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","pi[1, 2]",0.0911420926914235,0.00300619953172279,4.84468043974328e-05,3850.4,1.0002,1.0002,0.091135546198232,0.0853041155328287,0.0970812092123358,"[0.0853, 0.0971]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","pi[2, 2]",0.0464359479426873,0.00156762695835429,2.6312524206175e-05,3549.4,1,1.0001,0.0464291142912907,0.0433771870281645,0.0495366242018708,"[0.0434, 0.0495]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","pi[1, 3]",0.0479191071260564,0.00425919065226967,6.92706281582901e-05,3780.6,1.0001,1.0002,0.0477795301486618,0.0399484712585798,0.0567375961622147,"[0.0399, 0.0567]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","pi[2, 3]",0.0247398538191918,0.00222122748841324,3.69384276506676e-05,3616,1.0001,1.0001,0.0246701221809185,0.0205736305705274,0.029290477143207,"[0.0206, 0.0293]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","pi[1, 4]",0.0183712256858021,0.00318288243049279,5.16324737608475e-05,3800.1,1.0001,1.0002,0.0181378788944925,0.0127912106002829,0.0253409688880409,"[0.0128, 0.0253]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","pi[2, 4]",0.00967626471152073,0.00169217742122286,2.80900107962677e-05,3629,1.0001,1.0001,0.00955267279230851,0.00671151530085253,0.0133401746951963,"[0.0067, 0.0133]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","pi[1, 5]",0.00517039523479402,0.00148849898819677,2.41606572436743e-05,3795.6,1.0001,1.0001,0.00498243558149551,0.00279933279222482,0.00864872229681114,"[0.0028, 0.0086]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","pi[2, 5]",0.00279748978970005,0.000813920605787689,1.34885296754653e-05,3641.1,1.0001,1.0001,0.0026944864911527,0.00150537464286404,0.00467298553681027,"[0.0015, 0.0047]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","sigma[1]",34.8020243679975,1.56948235867199,0.0255020571500211,3787.6,1.0001,1.0001,34.7204688883012,31.9474564414466,38.1474183577209,"[31.9475, 38.1474]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","sigma[2]",35.1790029020679,1.63460070994861,0.027128165364199,3630.6,1.0001,1.0002,35.0949921322692,32.2125865236972,38.6356334324601,"[32.2126, 38.6356]"
"Muntjac","MJK",1,"NoSpatial","elev + slope","sigma0",3.54866457582977,0.0449139274595837,0.000730654482229256,3778.7,1.0001,1.0002,3.54732939454602,3.46409256705274,3.64145808460769,"[3.4641, 3.6415]"
