"Species","Species_Code","Model_Rank","Model_Type","Covariates","Parameter","Mean","SD","MCSE","ESS","Rhat","Rhat_UpperCI","Median","q2.5","q97.5","CI_95"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","AGS",2.16579145803945,0.166172248572343,0.00349563813783827,2259.8,1,1.0001,2.15402384497703,1.87714505591436,2.51616312320214,"[1.8771, 2.5162]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","TOTAL_ABUND",3152.36829150256,2413.67523492559,128.481069016635,352.9,1.0005,1.0006,2603.6837176476,1296.22530424919,8046.85200380605,"[1296.2253, 8046.8520]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","beta[1]",-1.46352902507358,0.593751291425237,0.0520001519142341,130.4,1.0324,1.0326,-1.42402201805388,-2.72709716586662,-0.419679482957473,"[-2.7271, -0.4197]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","beta[2]",1.26397890678446,0.41460876731077,0.031330617696363,175.1,1.0181,1.0183,1.2574363766932,0.456646778915204,2.0673375924563,"[0.4566, 2.0673]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","beta[3]",0.00826477457281471,1.48808525883583,0.0282568639319267,2773.4,1.0008,1.001,0.0303640068529138,-2.96510952116497,2.93613438392387,"[-2.9651, 2.9361]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","beta[4]",-0.256781771877658,0.397552091086264,0.0268242434735694,219.7,1.0003,1.0004,-0.229832771248652,-1.13290576335433,0.431705524885716,"[-1.1329, 0.4317]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","beta[5]",-1.01443425977345,0.835421547326729,0.0328571324037583,646.5,1,1.0002,-0.85437600862321,-3.03083778520908,0.194265706425787,"[-3.0308, 0.1943]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","beta[6]",-0.0188087619913613,1.4870233639102,0.029310012447489,2574,1.0001,1.0002,-0.00345999028873695,-2.88048213753222,2.97884228118037,"[-2.8805, 2.9788]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","beta[7]",-0.0135123532854554,1.48410452745982,0.0283747371835044,2735.7,1,1.0001,-0.0156582183059529,-2.98270639020953,2.92539977819762,"[-2.9827, 2.9254]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","beta0",-3.83442723354976,0.568985220829787,0.0534312971752208,113.4,1.0347,1.0349,-3.83009713564293,-4.92476226839885,-2.72130993610244,"[-4.9248, -2.7213]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","gs_k[1]",0.357340476297642,0.0483785491308123,0.0010226075623898,2238.1,1,1.0001,0.357231516414447,0.265018528257104,0.450924855861815,"[0.2650, 0.4509]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","gs_k[2]",0.317957711036082,0.00724233555464089,0.000157253483834121,2121.1,1,1.0002,0.320728475348684,0.298319190919194,0.323812839585817,"[0.2983, 0.3238]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","gs_k[3]",0.191230157724037,0.0186823734498364,0.000392462498595814,2266,1,1.0001,0.192228027499008,0.152873738276345,0.223869478926642,"[0.1529, 0.2239]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","gs_k[4]",0.0874497086225089,0.0186745433044496,0.000391528082246789,2275,1,1.0001,0.0863506907803666,0.0545083306467708,0.125999797766037,"[0.0545, 0.1260]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","gs_k[5]",0.0460219463197298,0.0175303573933124,0.00037087991876497,2234.2,1,1.0002,0.0432460562188966,0.0201314924610881,0.086793004131023,"[0.0201, 0.0868]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","muc",1.80850830567773,0.214390131197393,0.00449919550428174,2270.6,1,1.0001,1.79683871773498,1.42623136228999,2.25130818764757,"[1.4262, 2.2513]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","p",0.0480582196521429,0.0456601559680473,0.00140219514900149,1060.4,1,1.0001,0.036149832454082,0.00122931191062275,0.164946546733132,"[0.0012, 0.1649]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[1, 1]",0.0691028383604451,0.00934174128736529,0.000193492995708012,2330.9,1,1.0002,0.0690731555159391,0.0511540038837709,0.0872040133613473,"[0.0512, 0.0872]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[2, 1]",0.061673824418309,0.00150550469463694,3.31485775221968e-05,2062.7,1.0005,1.0007,0.0620551823893682,0.0577028328498087,0.0635510511127439,"[0.0577, 0.0636]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[3, 1]",0.0371837459405698,0.00362695480147421,7.57425276769215e-05,2293,1,1.0001,0.0373548250973253,0.0297669473911992,0.0435250663191153,"[0.0298, 0.0435]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[4, 1]",0.0170383928479157,0.00362631372738723,7.57010643313802e-05,2294.7,1,1.0001,0.0167960732349497,0.0106365311986569,0.0244822035961556,"[0.0106, 0.0245]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[5, 1]",0.00898672961990929,0.00341268464830192,7.19605568820502e-05,2249.1,1,1.0001,0.00841671605163261,0.00394283127791963,0.0169079152643123,"[0.0039, 0.0169]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[1, 2]",0.0566155972953233,0.00835373629980533,0.000176221782985218,2247.2,1.0006,1.0008,0.0564131768503986,0.0409431388942174,0.0737929646529734,"[0.0409, 0.0738]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[2, 2]",0.0514380976561049,0.00337414866077102,9.13576856163505e-05,1364.1,1.0015,1.0017,0.051467263912776,0.0448000856810747,0.0580832636397623,"[0.0448, 0.0581]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[3, 2]",0.0314691503868804,0.00352843098356437,7.58246280636545e-05,2165.4,1.0001,1.0002,0.0314584776145729,0.0245918285866301,0.038253613162154,"[0.0246, 0.0383]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[4, 2]",0.0145950544885149,0.00316218990221402,6.54709073353384e-05,2332.8,1,1.0001,0.014349845566104,0.00906754184071365,0.0212730041074675,"[0.0091, 0.0213]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[5, 2]",0.00780203325130486,0.00294989427314632,6.12482364736922e-05,2319.7,1,1.0001,0.00732756724682702,0.00341984269054135,0.0146942569256373,"[0.0034, 0.0147]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[1, 3]",0.0383667364991683,0.00840789684344177,0.000206830218671165,1652.5,1.0015,1.0017,0.037691996049816,0.024016703274572,0.056758830992212,"[0.0240, 0.0568]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[2, 3]",0.0360792559882313,0.00606796752144308,0.000176751613288151,1178.6,1.0015,1.0017,0.0357761768478015,0.0252635999114095,0.0488870355299321,"[0.0253, 0.0489]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[3, 3]",0.0227260521401747,0.0042579852276515,0.00010860827209383,1537,1.0006,1.0007,0.0224425635386299,0.0151697780901601,0.031792789881328,"[0.0152, 0.0318]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[4, 3]",0.0108016947430437,0.00280843901900974,6.14755562494212e-05,2087,1.0001,1.0002,0.0105211971210133,0.00608025853404224,0.0169869619670086,"[0.0061, 0.0170]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[5, 3]",0.00593517886939293,0.00237663580874647,4.91625387066907e-05,2337,1,1.0001,0.00553463089198455,0.00248749200419245,0.0115797429348911,"[0.0025, 0.0116]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[1, 4]",0.0219078874052672,0.00809725957536542,0.000213522402643036,1438.1,1.0017,1.0019,0.0207927562880194,0.00963478351916624,0.0411467611659449,"[0.0096, 0.0411]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[2, 4]",0.0216312773542502,0.00707863785438559,0.00020293684488284,1216.7,1.0014,1.0016,0.0207773955785229,0.0106166384837992,0.0380828117999288,"[0.0106, 0.0381]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[3, 4]",0.0142315015456268,0.00473680674523065,0.000132712900466396,1273.9,1.0007,1.0009,0.0135794166692478,0.00683197413980999,0.0253181141151107,"[0.0068, 0.0253]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[4, 4]",0.00702315629021503,0.00264557749455058,6.63373923508623e-05,1590.5,1.0002,1.0004,0.0066294668033732,0.0030102594984542,0.0131829293852731,"[0.0030, 0.0132]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[5, 4]",0.0040271214160937,0.00194842509066709,4.26513308471962e-05,2086.9,1,1.0001,0.00365378840606692,0.00134312520929384,0.00885186219550158,"[0.0013, 0.0089]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[1, 5]",0.0108241306009002,0.00650081909031459,0.000179688524508562,1308.9,1.0016,1.0018,0.00933183089031481,0.00277552663675736,0.0273642297798904,"[0.0028, 0.0274]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[2, 5]",0.0113497835988364,0.00626160802343645,0.000180826646598688,1199.1,1.0012,1.0014,0.0100513344773449,0.00335404835284318,0.0272690439122684,"[0.0034, 0.0273]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[3, 5]",0.00790878982680147,0.0043296757593121,0.000127089559596487,1160.6,1.0007,1.0008,0.00696410528183186,0.00228118915431564,0.0190123108191857,"[0.0023, 0.0190]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[4, 5]",0.00410808383201926,0.00235522556363916,6.47475015907986e-05,1323.2,1.0003,1.0004,0.00358049396992891,0.00108709652303917,0.010128996145316,"[0.0011, 0.0101]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[5, 5]",0.002498355634968,0.0016239717845713,3.94309325822845e-05,1696.2,1,1.0002,0.0021126040056052,0.000542111907039143,0.00663722917959164,"[0.0005, 0.0066]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","sigma[1]",45.8061792088561,7.78382422896157,0.224774514417385,1199.2,1.0013,1.0014,44.5315073411446,34.9367236432659,64.6325601414158,"[34.9367, 64.6326]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","sigma[2]",48.1085915515549,8.54495945874595,0.253848867913943,1133.1,1.0011,1.0012,46.6061665937026,36.6899960392756,69.294140132444,"[36.6900, 69.2941]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","sigma[3]",50.6440898242728,10.1722511939572,0.319191667397945,1015.6,1.0007,1.0009,48.6160058223622,37.5810507160345,75.9684993939616,"[37.5811, 75.9685]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","sigma[4]",53.4500802570794,12.8368945520579,0.411201798794275,974.6,1.0005,1.0006,50.7380034712326,38.3445833363837,85.981766353182,"[38.3446, 85.9818]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","sigma[5]",57.7511844611559,18.3359410585118,0.621575561744992,870.2,1.0002,1.0004,53.5132509713551,39.0325963605176,103.188330654435,"[39.0326, 103.1883]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","sigma0",3.81152203959446,0.156989390351825,0.00445371477003044,1242.5,1.0015,1.0017,3.79619696877519,3.55353852476453,4.16871831076654,"[3.5535, 4.1687]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","sigma_spatial",1.4054248499911,0.084546947671538,0.0103303983632382,67,1.0596,1.0598,1.42908726822473,1.16724370973995,1.49730881467834,"[1.1672, 1.4973]"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","b_spatial[3013_nodes_summary]",1.31259351628788e-18,0.785997616353065,0.0336280511756303,571,1.0158,1.1559,-0.0277379137706523,-1.83978940056311,1.97431749328932,"[-1.8398, 1.9743]"
