grid_id,dist_ranger,dist_salt,dist_vill,dist_str,ndvi_cv,slope
1069,8544.0000,4123.1100,19105.0000,5099.0200,0.1358,13.5020
1070,8246.2100,4000.0000,18110.8000,5000.0000,0.1520,2.4541
1071,8062.2600,4000.0000,17117.2000,4472.1400,0.1756,4.4244
1072,8000.0000,4123.1100,16124.5000,4123.1100,0.1957,3.0382
1073,8062.2600,4000.0000,15132.7000,4000.0000,0.1584,14.5461
1074,8246.2100,3605.5500,14142.1000,4000.0000,0.1195,12.8257
1075,8544.0000,2828.4300,13152.9000,4000.0000,0.0966,31.6915
1076,8602.3300,2000.0000,12165.5000,4123.1100,0.0578,37.3018
1077,7810.2500,1000.0000,11180.3000,4472.1400,0.0603,32.1587
1078,7071.0700,0.0000,10198.0000,5000.0000,0.1195,59.8321
1079,6403.1200,1000.0000,9219.5400,4472.1400,0.0960,18.8280
1080,5830.9500,2000.0000,8246.2100,4123.1100,0.1112,33.5364
1081,5385.1700,2236.0700,7280.1100,4000.0000,0.1302,18.2292
1082,5830.9500,2236.0700,32202.5000,6000.0000,0.1097,27.9483
1083,5099.0200,1414.2100,31400.6000,5000.0000,0.1486,37.3969
1084,4123.1100,1000.0000,30610.5000,4000.0000,0.1445,25.5492
1085,3162.2800,1414.2100,29832.9000,3000.0000,0.1038,10.3603
1086,2236.0700,1000.0000,29068.9000,2000.0000,0.1258,10.4962
1087,1414.2100,0.0000,28319.6000,1000.0000,0.1549,7.8564
1088,1000.0000,1000.0000,27586.2000,0.0000,0.1971,10.9177
1089,1414.2100,1000.0000,26870.1000,1000.0000,0.2438,38.5843
1090,2236.0700,0.0000,26172.5000,1414.2100,0.2579,57.6305
1091,3162.2800,1000.0000,25495.1000,2236.0700,0.2412,21.0264
1092,4123.1100,2000.0000,24839.5000,3162.2800,0.1821,21.4741
1093,5099.0200,3000.0000,24186.8000,4123.1100,0.1635,16.5358
1094,6082.7600,3000.0000,23194.8000,5099.0200,0.0892,16.1070
1095,7071.0700,3162.2800,22203.6000,5656.8500,0.0858,63.2299
1096,8062.2600,3605.5500,21213.2000,5000.0000,0.0773,41.4510
1097,8062.2600,3605.5500,20223.7000,4472.1400,0.1187,36.1523
1098,7615.7700,3162.2800,19235.4000,4123.1100,0.1543,36.3185
1099,7280.1100,3000.0000,18248.3000,4000.0000,0.1358,3.8993
1100,7071.0700,3162.2800,17262.7000,3605.5500,0.1531,4.2561
1101,7000.0000,3162.2800,16278.8000,3162.2800,0.1759,3.8427
1102,7071.0700,3000.0000,15297.1000,3000.0000,0.1618,3.4669
1103,7280.1100,3000.0000,14317.8000,3000.0000,0.1252,7.5701
1104,7615.7700,2236.0700,13341.7000,3000.0000,0.0892,51.9632
1105,8062.2600,1414.2100,12369.3000,3162.2800,0.0834,39.1750
1106,8485.2800,1000.0000,11401.8000,3605.5500,0.0716,67.5921
1107,7810.2500,1000.0000,10440.3000,4242.6400,0.0698,27.4943
1108,7211.1000,1000.0000,9486.8300,3605.5500,0.0983,52.8317
1109,6708.2000,1414.2100,8544.0000,3162.2800,0.1832,52.2137
1110,6324.5600,2236.0700,7615.7700,3000.0000,0.1744,48.6710
1111,6324.5600,2000.0000,31622.8000,6000.0000,0.0815,34.6351
1112,5385.1700,1000.0000,30805.8000,5000.0000,0.1228,62.5757
1113,4472.1400,0.0000,30000.0000,4000.0000,0.1532,24.1872
