"Species","Rank","Covariates","wAIC","Delta_wAIC","Weight","lppd","pWAIC","Type","CI_2.5","CI_5","CI_25","CI_50","CI_75","CI_95","CI_97.5"
"Wild boar",1,"ndvi_cv + slope + BB",337.396231704492,0,0.720077978046701,-148.263419550393,20.4346963018526,"Spatial",3512.9161606736,3885.41564215528,5327.64268779055,6732.96747534265,8648.56189421431,12884.4449668347,14583.7135428047
"Wild boar",2,"slope + BB",341.046320010241,3.65008830574902,0.116084149648377,-162.092312816215,8.43084718890546,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Wild boar",3,"slope",342.684042104745,5.28781040025302,0.0511853986554216,-163.10107852613,8.24094252624295,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Wild boar",4,"BB",343.093236049925,5.69700434543302,0.0417148564972206,-165.380971447547,6.16564657741509,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Wild boar",5,"elev + slope + BB",343.319288091646,5.92305638715402,0.0372566821535953,-161.58231647159,10.0773275742326,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Wild boar",6,"ndvi_cv + slope + BB",343.521086822004,6.12485511751203,0.0336809349986847,-161.771658228789,9.98888518221258,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
