"Species","Rank","Covariates","wAIC","Delta_wAIC","Weight","lppd","pWAIC","Type","CI_2.5","CI_5","CI_25","CI_50","CI_75","CI_95","CI_97.5"
"Muntjac",1,"elev + slope",692.216130105828,0,0.208082404783595,-335.742201182602,10.3658638703126,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Muntjac",2,"slope",692.44439033533,0.228260229501984,0.185639025200279,-337.595719050146,8.62647611751912,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Muntjac",3,"dist_str + elev + slope",692.714721564312,0.498591458483929,0.162168910402072,-333.98422483208,12.3731359500761,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Muntjac",4,"dist_str + elev + slope + BB",693.033810573851,0.817680468023013,0.138254189546444,-332.746216318378,13.7706889685477,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Muntjac",5,"slope + DE",693.157569412053,0.941439306224993,0.129958416339807,-335.939086579278,10.6396981267489,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Muntjac",6,"ndvi_cv + slope",693.884563060001,1.668432954173,0.0903524109282652,-336.717461745418,10.2248197845824,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Muntjac",7,"slope + DE",693.99392170664,1.77779160081161,0.0855446427995384,-319.043351275337,27.9536095779833,"Spatial",13649.3315794331,14006.1734533074,15393.9295954713,16614.9404186716,17910.9723212142,20239.3006499129,21179.4135790542
