"Species","Rank","Type","Model_Covariates","Delta_wAIC","Weight","Parameter","Mean","SD","MCSE","Median","q2.5%","q5%","q10%","q25%","q50%","q75%","q90%","q95%","q97.5%"
"Banteng",1,"Spatial","dist_str + ndvi_cv + slope + BB",0,0.342,"beta0 (Intercept)",-3.83442723354976,0.568985220829787,0.054713704374381,-3.83009713564293,-4.92476226839885,-4.77415449307891,-4.57644365179907,-4.2197944999086,-3.83009713564293,-3.45231594449851,-3.0933076054422,-2.88105380650522,-2.72130993610244
"Banteng",1,"Spatial","dist_str + ndvi_cv + slope + BB",0,0.342,"beta_dist_str",-1.46352902507358,0.593751291425237,0.0531162886033944,-1.42402201805388,-2.72709716586662,-2.53627619339031,-2.25659448223716,-1.83478640786696,-1.42402201805388,-1.05012629432073,-0.733155332773623,-0.567520011323202,-0.419679482957473
"Banteng",1,"Spatial","dist_str + ndvi_cv + slope + BB",0,0.342,"beta_ndvi_cv",1.26397890678446,0.41460876731077,0.0317212709418469,1.2574363766932,0.456646778915204,0.598167891502074,0.732407121857576,0.981676710345105,1.2574363766932,1.54722037634495,1.81976566256791,1.94568235168221,2.0673375924563
"Banteng",1,"Spatial","dist_str + ndvi_cv + slope + BB",0,0.342,"beta_slope",-0.256781771877658,0.397552091086264,0.0281432254109667,-0.229832771248652,-1.13290576335433,-0.951168083976285,-0.76724439211288,-0.502162848417061,-0.229832771248652,0.0199267735431986,0.21989370822695,0.344208629719192,0.431705524885716
"Banteng",1,"Spatial","dist_str + ndvi_cv + slope + BB",0,0.342,"beta_BB",-1.01443425977345,0.835421547326729,0.0333316277428131,-0.85437600862321,-3.03083778520908,-2.62563902083378,-2.17943507935238,-1.50381623232746,-0.85437600862321,-0.404293550036348,-0.0897631263208407,0.0859981107293647,0.194265706425787
"Banteng",1,"Spatial","dist_str + ndvi_cv + slope + BB",0,0.342,"sigma_spatial (CAR SD)",1.4054248499911,0.084546947671538,0.0121933511055405,1.42908726822473,1.16724370973995,1.2267644130379,1.29461124919416,1.36575188728216,1.42908726822473,1.47025826200754,1.48884684517147,1.49469602668646,1.49730881467834
"Banteng",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE",1.11,0.196,"beta0 (Intercept)",-3.85915396457992,0.634400599150537,0.0667511705644074,-3.83171914601765,-5.16582145726936,-4.96613370221067,-4.67008626346826,-4.29425959101992,-3.83171914601765,-3.42279725663948,-3.06140510951162,-2.84437213615202,-2.66433165257542
"Banteng",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE",1.11,0.196,"beta_dist_str",-1.23234164473247,0.699654362184019,0.0810808055258495,-1.15432685541462,-2.71331477873448,-2.44859902612575,-2.18237002298281,-1.66353746843043,-1.15432685541462,-0.735609291205969,-0.40907958864501,-0.202292743002841,-0.027408327923198
"Banteng",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE",1.11,0.196,"beta_ndvi_cv",1.45143911973411,0.474072039790851,0.0421559122702399,1.45624789064296,0.523209992453278,0.669351127501781,0.824180521452551,1.12831905539752,1.45624789064296,1.76251714202487,2.04105888902089,2.19374469116323,2.3412267380308
"Banteng",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE",1.11,0.196,"beta_elev",-0.229588083577405,0.643738893779646,0.0786120877272928,-0.192225583281628,-1.54791726306812,-1.33052591627527,-1.07460678874352,-0.653806408432845,-0.192225583281628,0.189885795501709,0.554607343157983,0.796209304847626,1.00013800747816
"Banteng",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE",1.11,0.196,"beta_BB",-1.03864591165825,0.847275642918142,0.0345190111287358,-0.882763895988424,-3.01936917588112,-2.64588190134767,-2.20049710028195,-1.54877297704664,-0.882763895988424,-0.407737454668438,-0.0966442889728799,0.0672820500755102,0.170000979658781
"Banteng",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE",1.11,0.196,"beta_DE",0.118761222931354,0.677083665002711,0.0605717294136558,0.176420940121984,-1.32965719522438,-1.07996241110628,-0.777511349846571,-0.305507616347861,0.176420940121984,0.604622199312996,0.926477709484272,1.09552254200066,1.2973643699384
"Banteng",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE",1.11,0.196,"sigma_spatial (CAR SD)",1.42283782549985,0.0657726644708881,0.0077353247330311,1.44034783294092,1.24480907069392,1.29548638729815,1.33778906196018,1.38836468004526,1.44034783294092,1.47298833056676,1.48936476085973,1.4948592427749,1.49713307792793
"Banteng",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB",1.32,0.177,"beta0 (Intercept)",-3.80027352902113,0.705550240237789,0.0840970114022662,-3.75844305060507,-5.25287804743509,-5.00271261951289,-4.75515465500634,-4.26437968364874,-3.75844305060507,-3.28783720713427,-2.92513250701766,-2.70522396751195,-2.52374747744126
"Banteng",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB",1.32,0.177,"beta_dist_str",-1.33710795502681,0.700364614611722,0.0778990307327044,-1.27152019441857,-2.88176013265181,-2.62006746843554,-2.25872750007045,-1.74799661747474,-1.27152019441857,-0.863503754157243,-0.521610326838981,-0.327102630686527,-0.122957702535417
"Banteng",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB",1.32,0.177,"beta_ndvi_cv",1.22604439951313,0.46727061835478,0.0399540125878168,1.23521808886372,0.284598548908349,0.449784696393101,0.613687509425115,0.908558199528651,1.23521808886372,1.54522602676014,1.80514203945598,1.98119886262365,2.14504535804465
"Banteng",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB",1.32,0.177,"beta_elev",-0.0773413592402579,0.520768153466584,0.0530054284554858,-0.0949229656479496,-1.08115852835862,-0.91433008264625,-0.728857296247842,-0.424985576197579,-0.0949229656479496,0.255214976259021,0.604790439033139,0.829109337875411,1.00508209196607
"Banteng",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB",1.32,0.177,"beta_slope",-0.266575069218049,0.471461921080508,0.0420876258441414,-0.235301486068419,-1.30761735098024,-1.10989163210559,-0.904577628640619,-0.542242183113483,-0.235301486068419,0.0756662865778572,0.300936951105779,0.444783223263398,0.544887105782612
"Banteng",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB",1.32,0.177,"beta_BB",-0.967504712738541,0.796450530539098,0.0304819787004251,-0.848273889817698,-2.84052946284035,-2.39752554245593,-2.0309660965393,-1.41832394364486,-0.848273889817698,-0.37891745190096,-0.0647060036876689,0.0982814151507779,0.239542732215389
"Banteng",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB",1.32,0.177,"sigma_spatial (CAR SD)",1.41498475979015,0.0737845829276443,0.00925982143151937,1.43551634384465,1.23051019467592,1.25599984048177,1.30489901119153,1.37600791265804,1.43551634384465,1.47215835859251,1.48974204233724,1.49495970167865,1.49730790659136
"Banteng",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD",1.43,0.168,"beta0 (Intercept)",-3.49403568749522,0.563313875868036,0.0520003586577254,-3.49910177677056,-4.56259323266436,-4.41497125578147,-4.2245535470874,-3.89510943713966,-3.49910177677056,-3.10822425755465,-2.73916583738971,-2.55543351638188,-2.43567372411643
"Banteng",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD",1.43,0.168,"beta_dist_str",-1.36248201180839,0.609251171837274,0.0603081359349491,-1.33452832842707,-2.69911943354998,-2.4264928777821,-2.16807069159607,-1.74110720139677,-1.33452832842707,-0.944263208825487,-0.603758620884348,-0.404584165258092,-0.252656909220941
"Banteng",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD",1.43,0.168,"beta_ndvi_cv",1.03800201466229,0.43012681326598,0.0373089399461415,1.02346616552668,0.253761111613074,0.363039084526428,0.502757790694881,0.729181990073364,1.02346616552668,1.31729889701412,1.60411927504653,1.77144777170778,1.92327306991697
"Banteng",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD",1.43,0.168,"beta_elev",-0.0939173270071019,0.476622628221894,0.0447223810958648,-0.0954782486925863,-1.04648421099939,-0.887957204148863,-0.700304369396238,-0.415514170730159,-0.0954782486925863,0.235147790157026,0.5098685335098,0.657259459685391,0.816286466948667
"Banteng",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD",1.43,0.168,"beta_BB",-1.10720955801902,0.797129640609036,0.0288315967552077,-0.963072740276255,-2.96286177724566,-2.61853698573372,-2.22046385789025,-1.57983397372649,-0.963072740276255,-0.508158203367215,-0.210196559621554,-0.0503597665114661,0.069207167222673
"Banteng",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD",1.43,0.168,"beta_DD",-0.150873372085376,0.428132500462446,0.0253521773431691,-0.0772536962324844,-1.21592780228688,-0.979734630759761,-0.721455357260578,-0.368066826557577,-0.0772536962324844,0.152003171773441,0.303672913297867,0.390062419864467,0.470061581229891
"Banteng",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD",1.43,0.168,"sigma_spatial (CAR SD)",1.39248660260873,0.089154534682328,0.0128905656289088,1.41953596811797,1.18687882932391,1.21107472141338,1.2476489667889,1.33726048680984,1.41953596811797,1.46420245948943,1.4874357196804,1.49453388165568,1.49750184511286
"Gaur",1,"Spatial","ndvi_cv + elev + DE",0,0.661,"beta0 (Intercept)",-1.72230928898262,0.454772869673823,0.0325482761270734,-1.70322764262572,-2.65057610110663,-2.50254024615163,-2.30739408341053,-2.01250825789196,-1.70322764262572,-1.41129341315169,-1.1531053480669,-0.997164886523011,-0.879076653837767
"Gaur",1,"Spatial","ndvi_cv + elev + DE",0,0.661,"beta_ndvi_cv",1.00719420926962,0.376763929763991,0.0186446850930593,0.999637249660898,0.309205655685949,0.405016525167617,0.520406104720645,0.746912634009209,0.999637249660898,1.26217690062837,1.48180201149851,1.62704463473454,1.7605449947404
"Gaur",1,"Spatial","ndvi_cv + elev + DE",0,0.661,"beta_elev",-0.706401511264406,0.427868042439455,0.0272427749691374,-0.701279663427866,-1.56994723306404,-1.42055060517261,-1.265350159016,-0.979826724714352,-0.701279663427866,-0.42015801554154,-0.162408262990665,0.00356445025605778,0.112102221422294
"Gaur",1,"Spatial","ndvi_cv + elev + DE",0,0.661,"beta_DE",0.97046738328319,0.336151256821549,0.0181624548008661,0.980440871647308,0.292333146322561,0.418899931481627,0.536210541471207,0.74342574983373,0.980440871647308,1.20396309712699,1.39223251362976,1.49859773979929,1.58664688781391
"Gaur",1,"Spatial","ndvi_cv + elev + DE",0,0.661,"sigma_spatial (CAR SD)",0.177210400822657,0.0438682058547762,0.0218670437124246,0.184169427176908,0.105661849511693,0.110771031286901,0.116986885931242,0.133478656378601,0.184169427176908,0.210690331723487,0.228622507380637,0.245792769109824,0.255975781198446
"Gaur",2,"Spatial","ndvi_cv + elev + BB + DE",1.6,0.296,"beta0 (Intercept)",-2.15365485589909,0.548252460617629,0.0391543198811012,-2.12892368551447,-3.31961822461895,-3.09186288278794,-2.85673330535314,-2.51067239090876,-2.12892368551447,-1.77261250660013,-1.48805963932028,-1.29666403722405,-1.10555878252665
"Gaur",2,"Spatial","ndvi_cv + elev + BB + DE",1.6,0.296,"beta_ndvi_cv",1.1263203217206,0.474543909745978,0.0294705154827337,1.12265044040132,0.212038995734627,0.347356964783049,0.51995279823568,0.806316760355874,1.12265044040132,1.45018679624032,1.71906164148108,1.91718839187786,2.09871555960683
