"Species","Species_Code","Rank","Type","Covariates","Parameter","Group_Size_Class","Distance_Bin","Mean","SD","MCSE","Median","HPD_95_Lower","HPD_95_Upper"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[2, 4]","Group Size Class 2","Distance Bin 4",0.0216312773542502,0.00707863785438559,0.000203073775825075,0.0207773955785229,0.00928851004702864,0.0358979828562989
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[3, 4]","Group Size Class 3","Distance Bin 4",0.0142315015456268,0.00473680674523065,0.000141070863828958,0.0135794166692478,0.0061990632204483,0.0239382518414987
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[4, 4]","Group Size Class 4","Distance Bin 4",0.00702315629021503,0.00264557749455058,7.59536463199957e-05,0.0066294668033732,0.00257285827931995,0.012313093451568
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[5, 4]","Group Size Class 5","Distance Bin 4",0.0040271214160937,0.00194842509066709,4.29060972662514e-05,0.00365378840606692,0.000986157718208459,0.00790124451184277
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[1, 5]","Group Size Class 1","Distance Bin 5",0.0108241306009002,0.00650081909031459,0.000180079493164911,0.00933183089031481,0.00180679722895744,0.0237481412454277
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[2, 5]","Group Size Class 2","Distance Bin 5",0.0113497835988364,0.00626160802343645,0.000194227465532256,0.0100513344773449,0.00226018551443555,0.023997336489002
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[3, 5]","Group Size Class 3","Distance Bin 5",0.00790878982680147,0.0043296757593121,0.000134921820429567,0.00696410528183186,0.00134226818459491,0.0164228515983695
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[4, 5]","Group Size Class 4","Distance Bin 5",0.00410808383201926,0.00235522556363916,7.42295126684247e-05,0.00358049396992891,0.000721909899235503,0.00884411021956347
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[5, 5]","Group Size Class 5","Distance Bin 5",0.002498355634968,0.0016239717845713,4.480407275277e-05,0.0021126040056052,0.000293106983395753,0.00570113820184476
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","sigma[1]","Group Size Class 1","-",45.8061792088561,7.78382422896157,0.229683184675606,44.5315073411446,33.7064676737413,61.4344278138553
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","sigma[2]","Group Size Class 2","-",48.1085915515549,8.54495945874595,0.269276305830824,46.6061665937026,34.3759983720343,64.218456784643
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","sigma[3]","Group Size Class 3","-",50.6440898242728,10.1722511939572,0.327075622440373,48.6160058223622,36.4873222845985,71.4591506095909
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","sigma[4]","Group Size Class 4","-",53.4500802570794,12.8368945520579,0.414689814160567,50.7380034712326,35.8321262009979,77.368792482989
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","sigma[5]","Group Size Class 5","-",57.7511844611559,18.3359410585118,0.624257326816447,53.5132509713551,34.6883568107394,88.8640899244832
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","sigma0","-","-",3.81152203959446,0.156989390351825,0.00449025767601038,3.79619696877519,3.53014947335185,4.12723951176615
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","gs_k[1]","Group Size Class 1","-",0.358660492522372,0.0483754018602484,0.000966575120630053,0.356916828798216,0.261994041954067,0.452131396045703
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","gs_k[2]","Group Size Class 2","-",0.318131401162754,0.00687280904449607,0.000139515842472082,0.32058284890456,0.304033272576842,0.323823028594117
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","gs_k[3]","Group Size Class 3","-",0.190741373686245,0.0188246296816468,0.000375941434482942,0.192352355494706,0.15553270000767,0.227085088315971
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","gs_k[4]","Group Size Class 4","-",0.086943772318011,0.0184948327087336,0.000368992737721364,0.086472573556941,0.0486776572942932,0.120818912143603
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","gs_k[5]","Group Size Class 5","-",0.0455229603106178,0.0170923883720401,0.000340740089144379,0.0433521981083388,0.016058885829904,0.0790430264744666
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","muc","-","-",1.8025579665252,0.212456337546594,0.00424258740847064,1.7982118978381,1.39455326002307,2.23017905257622
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","p","-","-",0.0460500369663056,0.041303727826321,0.00113782572843372,0.0344320300268647,8.56336027152162e-05,0.127549811981356
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[1, 1]","Group Size Class 1","Distance Bin 1",0.0693773324085564,0.0093579230577205,0.000186675672741467,0.069083002313991,0.0517702340582303,0.0884732048085768
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[2, 1]","Group Size Class 2","Distance Bin 1",0.0617135834063407,0.00145383554950397,3.13824549931502e-05,0.0620583779830622,0.0587120501889962,0.0638951011036472
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[3, 1]","Group Size Class 3","Distance Bin 1",0.0370880278583356,0.00364834427747807,7.24221554119932e-05,0.0373752771524462,0.0300275123680996,0.0439183423349193
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[4, 1]","Group Size Class 4","Distance Bin 1",0.0169382299883527,0.00358881781059666,7.12402174810323e-05,0.0168625507095287,0.00973361462861412,0.023748783398675
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[5, 1]","Group Size Class 5","Distance Bin 1",0.00888792081482881,0.00332643643649945,6.60561341774609e-05,0.00847436932340458,0.00309184890849937,0.0153686848883778
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[1, 2]","Group Size Class 1","Distance Bin 2",0.0569315005856459,0.00842586826556181,0.000178883355365411,0.0565316661868331,0.0405784614016036,0.0733130956132908
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[2, 2]","Group Size Class 2","Distance Bin 2",0.0515012524655297,0.00338056092813145,9.23801570218381e-05,0.0515780714424694,0.044929923361277,0.0583703171267658
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[3, 2]","Group Size Class 3","Distance Bin 2",0.0313849963842919,0.00351774749746759,7.78382813539619e-05,0.0314670120272694,0.0245329247514363,0.0381822336884772
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[4, 2]","Group Size Class 4","Distance Bin 2",0.0145013662798799,0.0031202615577194,6.13220914228171e-05,0.0143928447705746,0.00855155445816244,0.0206409761614862
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[5, 2]","Group Size Class 5","Distance Bin 2",0.00770935112752189,0.00287320335036668,5.86454406198753e-05,0.0073262014818681,0.00278926752963483,0.0133904136503875
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[1, 3]","Group Size Class 1","Distance Bin 3",0.0386941320382683,0.00847414969886055,0.000210049269274335,0.0379586471823647,0.0225954355969684,0.055288229165227
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[2, 3]","Group Size Class 2","Distance Bin 3",0.0361636591959955,0.00605936017628264,0.000171016158203378,0.0358097765675845,0.0246596183405171,0.0485991565286817
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[3, 3]","Group Size Class 3","Distance Bin 3",0.022660697620405,0.004216946574102,0.000107589511354831,0.022467142549567,0.0145526151311297,0.0309850628052127
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[4, 3]","Group Size Class 4","Distance Bin 3",0.0107210743995072,0.00276823235233631,6.25732320780125e-05,0.0104972284605968,0.00539113121565191,0.0158750705299212
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[5, 3]","Group Size Class 5","Distance Bin 3",0.00585480236819538,0.00232108443233112,4.83392987478705e-05,0.00549422909265907,0.00189260005730161,0.0103654399406606
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[1, 4]","Group Size Class 1","Distance Bin 4",0.0221767468398788,0.00813346882446163,0.000221112672737993,0.0209741665539879,0.00808784117026426,0.038640665333609
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[2, 4]","Group Size Class 2","Distance Bin 4",0.0217115127645298,0.00702889895305176,0.000202053343831913,0.0208547502711616,0.00892286940958129,0.0359659511900018
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[3, 4]","Group Size Class 3","Distance Bin 4",0.0141833729061462,0.00466283499924895,0.00012862308318316,0.0136066637967167,0.00552338527576867,0.0232493334195781
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[4, 4]","Group Size Class 4","Distance Bin 4",0.0069590046955493,0.00260288449378854,6.64282408699125e-05,0.00662539118111534,0.00243557973508599,0.0120653808973626
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[5, 4]","Group Size Class 5","Distance Bin 4",0.00396301484498965,0.00191516050483428,4.34416750913545e-05,0.00359980662022519,0.0010274758534918,0.00772270732915339
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE","pi[1, 5]","Group Size Class 1","Distance Bin 5",0.0109962968505133,0.00652050544233122,0.000184407389033232,0.00950585910200754,0.00169600045853418,0.0239545070812315
