grid_id,dist_ranger,dist_salt,dist_vill,dist_str,slope_var,ndvi_cv
137,2236.07,1414.21,12041.6,2236.07,32.241,0.109
138,3162.28,1000,11313.7,1414.21,58.232,0.12
139,4123.11,1414.21,10630.1,1000,69.45,0.105
140,5099.02,2236.07,10000,1000,82.012,0.112
141,6082.76,2000,9433.98,1000,104.426,0.088
142,5656.85,2236.07,8944.27,0,151.37,0.077
143,5000,2828.43,8544,1000,93.866,0.071
144,4472.14,3605.55,8246.21,1000,72.709,0.074
145,4123.11,4472.14,8062.26,1000,26.07,0.07
146,4000,5385.17,8000,1414.21,36.298,0.075
147,4123.11,6324.56,8062.26,2000,44.305,0.063
148,4472.14,7280.11,8246.21,2000,40.097,0.055
149,4472.14,6324.56,30805.8,0,79.498,0.159
150,3605.55,5830.95,29832.9,0,82.309,0.15
151,2828.43,5000,28861.7,1000,65.164,0.115
152,2236.07,4242.64,27892.7,1000,48.529,0.103
153,2000,3605.55,26925.8,1414.21,37.244,0.105
154,2236.07,3162.28,25961.5,2236.07,52.579,0.11
155,2828.43,3000,25000,2828.43,58.239,0.122
156,3605.55,3162.28,24041.6,3605.55,48.799,0.139
157,4472.14,3605.55,23086.8,4472.14,92.848,0.118
158,5385.17,4123.11,22135.9,5385.17,23.329,0.09
159,6324.56,4000,21189.6,6324.56,47.227,0.077
160,7280.11,4123.11,20248.5,5385.17,35.305,0.055
161,7280.11,4472.14,19313.2,4472.14,24.4,0.046
162,6324.56,4123.11,18384.8,3605.55,35.456,0.059
163,5385.17,3162.28,17464.2,2828.43,112.858,0.082
164,4472.14,2236.07,16552.9,2236.07,111.377,0.09
165,3605.55,1414.21,15652.5,1414.21,107.966,0.098
166,2828.43,1000,14764.8,1000,15.351,0.114
167,2236.07,0,13892.4,0,21.581,0.128
168,2000,1000,13038.4,1000,4.438,0.113
169,2236.07,2000,12206.6,2000,16.262,0.105
170,2828.43,1000,11401.8,2828.43,31.86,0.075
171,3605.55,0,10630.1,2236.07,82.79,0.086
172,4472.14,1000,9899.5,2000,71.05,0.092
173,5385.17,2000,9219.54,2000,112.168,0.072
174,6324.56,3000,8602.33,1414.21,100.403,0.079
175,6403.12,3162.28,8062.26,1000,78.48,0.08
176,5830.95,3605.55,7615.77,0,44.044,0.062
177,5385.17,4242.64,7280.11,0,80.529,0.072
178,5099.02,5000,7071.07,0,22.932,0.07
179,5000,5830.95,7000,1000,18.963,0.053
180,5099.02,6708.2,7071.07,1000,48.114,0.053
181,5000,7615.77,7280.11,1000,39.449,0.048
182,4242.64,8544,7615.77,1414.21,37.202,0.059
183,5830.95,5830.95,31575.3,0,81.169,0.158
184,5000,5385.17,30594.1,0,60.051,0.144
185,4242.64,5099.02,29614.2,1000,57.092,0.148
186,3605.55,4472.14,28635.6,1414.21,74.701,0.084
187,3162.28,3605.55,27658.6,2000,82.928,0.111
188,3000,2828.43,26683.3,2236.07,26.713,0.086
189,3162.28,2236.07,25709.9,2828.43,41.445,0.125
190,3605.55,2000,24738.6,3605.55,30.419,0.123
191,4242.64,2236.07,23769.7,4242.64,46.02,0.125
192,5000,2828.43,22803.5,5000,55.204,0.103
193,5830.95,3162.28,21840.3,5830.95,23.456,0.093
194,6708.2,3000,20880.6,6082.76,47.329,0.064
195,7615.77,3162.28,19924.9,5099.02,50.298,0.059
196,7615.77,3605.55,18973.7,4123.11,45.151,0.051
197,6708.2,3605.55,18027.8,3162.28,41.845,0.059
198,5830.95,3000,17088,2236.07,62.447,0.088
199,5000,2000,16155.5,1414.21,74.931,0.094
200,4242.64,1000,15231.5,1000,104.777,0.09
201,3605.55,0,14317.8,0,14.513,0.114
202,3162.28,1000,13416.4,0,14.98,0.115
203,3000,1000,12530,1000,2.83,0.105
204,3162.28,1414.21,11661.9,2000,48.355,0.1
205,3605.55,1414.21,10816.7,3000,35.666,0.083
206,4242.64,1000,10000,3162.28,94.691,0.081
207,5000,1414.21,9219.54,3000,74.788,0.071
208,5830.95,2000,8485.28,2828.43,53.787,0.06
209,6403.12,2236.07,7810.25,2236.07,64.802,0.06
210,5830.95,2828.43,7211.1,1414.21,68.348,0.076
211,5385.17,3605.55,6708.2,1000,55.402,0.077
212,5099.02,4472.14,6324.56,1000,67.502,0.073
213,5000,5385.17,6082.76,0,37.038,0.066
214,5099.02,6324.56,6000,0,27.67,0.054
215,5385.17,7211.1,6082.76,0,45.632,0.063
216,5656.85,8062.26,6324.56,0,53.702,0.054
217,5000,8944.27,6708.2,1000,27.74,0.062
218,4472.14,9848.86,7211.1,2000,31.143,0.063
219,5656.85,4472.14,30413.8,1000,40.586,0.129
220,5000,4123.11,29427.9,1414.21,76.629,0.127
221,4472.14,4000,28442.9,2236.07,99.688,0.084
222,4123.11,3162.28,27459.1,2828.43,37.814,0.109
223,4000,2236.07,26476.4,3162.28,79.591,0.098
224,4123.11,1414.21,25495.1,3605.55,20.345,0.106
225,4472.14,1000,24515.3,4242.64,23.883,0.105
226,5000,1414.21,23537.2,5000,27.787,0.107
227,5656.85,2236.07,22561,5656.85,44.641,0.113
228,6403.12,2236.07,21587,6403.12,15.774,0.094
229,7211.1,2000,20615.5,6000,38.932,0.076
230,8062.26,2236.07,19646.9,5000,37.03,0.06
231,8062.26,2828.43,18681.5,4000,38.284,0.057
232,7211.1,2828.43,17720,3000,43.957,0.055
233,6403.12,2236.07,16763.1,2000,70.122,0.091
234,5656.85,2000,15811.4,1000,90.785,0.088
235,5000,1414.21,14866.1,0,66.934,0.097
236,4472.14,1000,13928.4,0,41.193,0.098
237,4123.11,0,13000,0,10.76,0.116
238,4000,0,12083,1000,14.971,0.093
239,4123.11,1000,11180.3,2000,56.33,0.102
240,4472.14,2000,10295.6,3000,75.187,0.083
241,5000,2000,9433.98,4000,65.179,0.07
242,5656.85,1414.21,8602.33,4000,63.953,0.061
243,6403.12,1000,7810.25,3605.55,60.346,0.073
244,5656.85,1414.21,7071.07,2828.43,40.275,0.064
245,5000,2236.07,6403.12,2236.07,86.844,0.062
246,4472.14,3162.28,5830.95,2000,59.506,0.083
247,4123.11,4123.11,5385.17,1414.21,52.827,0.075
248,4000,5099.02,5099.02,1000,29.872,0.063
249,4123.11,6082.76,5000,1000,39.835,0.072
250,4472.14,7071.07,5099.02,0,42.177,0.08
251,5000,8062.26,5385.17,0,30.44,0.078
252,5656.85,9055.38,5830.95,1000,31.384,0.074
253,5385.17,10049.9,6403.12,2000,23.611,0.054
254,6403.12,3605.55,30265.5,2000,24.352,0.125
255,5830.95,3162.28,29274.6,2236.07,46.215,0.096
256,5385.17,3000,28284.3,2828.43,132.683,0.104
257,5099.02,3000,27294.7,3605.55,62.72,0.116
258,5000,2000,26305.9,4123.11,32.476,0.1
259,5099.02,1000,25318,4472.14,29.107,0.116
260,5385.17,0,24331.1,5000,4.486,0.107
261,5830.95,1000,23345.2,5656.85,11.154,0.112
262,6403.12,1414.21,22360.7,6403.12,51.625,0.123
263,7071.07,1414.21,21377.6,7071.07,9.036,0.091
264,7810.25,1000,20396.1,6082.76,17.741,0.07
265,8602.33,1414.21,19416.5,5099.02,20.095,0.065
266,8602.33,2236.07,18439.1,4123.11,55.712,0.078
267,7810.25,2236.07,17464.2,3162.28,53.961,0.08
268,7071.07,1414.21,16492.4,2236.07,105.464,0.097
269,6403.12,1000,15524.2,1414.21,82.167,0.093
270,5830.95,1414.21,14560.2,1000,15.416,0.088
271,5385.17,1414.21,13601.5,0,15.592,0.109
272,5099.02,1000,12649.1,1000,2.146,0.103
273,5000,1000,11704.7,1414.21,18.215,0.097
