Park,Tr.no,Walk.no,Animal.location,Total_lenght_tr,Species,Gz.sz,P.dist
HKK,12,7,1.60,32,GAR,1,37.58770483
HKK,12,4,0.86,32,GAR,1,18.06111763
HKK,14,1,0.78,32,GAR,1,19.26369873
HKK,16,1,1.81,32,GAR,1,12.50385067
HKK,20,1,0.83,32,GAR,1,9
HKK,21,9,2.49,32,GAR,1,12.87348489
HKK,21,9,2.49,32,GAR,1,25.20667152
HKK,21,7,2.52,32,GAR,1,8.619260655
HKK,24,5,1.51,32,GAR,1,21.1870803
HKK,25,1,2.25,32,GAR,1,0
HKK,26,10,2.00,32,GAR,1,12.67854785
HKK,26,5,2.59,32,GAR,1,49.38441703
HKK,31,10,3.11,32,GAR,1,18.91037151
HKK,31,3,0.09,32,GAR,1,4.069601931
HKK,31,3,0.08,32,GAR,1,20
HKK,31,2,0.65,32,GAR,1,39.39231012
HKK,31,1,0.52,32,GAR,1,18.46984426
HKK,31,1,0.40,32,GAR,5,35.06647854
HKK,31,1,0.16,32,GAR,1,31.90718864
HKK,31,1,0.68,32,GAR,3,19.2450943
